image_name,work_name,songs,song_display_names
"gal_9nine.jpg","9nine","gal_米倉千尋_-_DEAR_MY_WAKER.mp3|gal_米倉千尋_-_ReAliZe.mp3","米倉千尋 - DEAR MY WAKER|米倉千尋 - ReAliZe"
"gal_Ambitious_Mission.jpg","Ambitious Mission","gal_茶太_-_めくるめく.mp3|gal_佐藤アスカ_-_breaking_light.mp3","茶太 - めくるめく|佐藤アスカ - breaking light"
